SCI01 TPol Perwira_Sains_Senior
SCI02 Jadzia_Dax Astrofisikawan
SCI03 Jemma_Simmons Ahli_Biologi_Alien
PIL01 Han_Solo Pilot_Utama_Eksplorasi
PIL02 Hikaru_Sulu Pilot_Navigasi_Graf
PIL03 Hoban_Washburne Pilot_Kargo_Logistik
CMD01 John_Shepard Komandan_Stasiun
CMD02 Miranda_Lawson Wakil_Komandan
CMD03 Dimas_Giovanni Wakil_Komandan
MED01 Beverly_Crusher Dokter_Kepala
MED02 Leonard_McCoy Dokter_Bedah_Trauma
CMD04 Power Wakil_Komander
CMD04 Power Wakil_Komandan
MED03 Simon_Tam Spesialis_Penyakit_Asing
ENG01 Isaac_Clarke Kepala_Teknisi
ENG02 Miles_OBrien Teknisi_Mesin_Warp
SEC01 Worf Kepala_Keamanan_Stasiun
ENG03 Kaylee_Frye Mekanik_Kapal_Suplai
SEC02 Amos_Burton Petugas_Keamanan_Taktis
